stadium,City Id,team,capacity
Armstrong Stadium,164,Hampton Pirates,17000
Lawrence A. Wien Stadium,165,Columbia Lions,17000
Roy Stewart Stadium,166,Murray State Racers,16800
Tucker Stadium,167,Tennessee Tech Golden Eagles,16500
Hanson Field,168,Western Illinois Leathernecks,16368
UNI-Dome,169,Northern Iowa Panthers,16000
Provost Umphrey Stadium,170,Lamar Cardinals,16000
Paladin Stadium,171,Furman Paladins,16000
Goodman Stadium,172,Lehigh Mountain Hawks,16000
Golden Lion Stadium,173,Arkansas–Pine Bluff Golden Lions,16000
Harry Turpin Stadium,174,Northwestern State Demons,15971
Walkup Skydome,175,Northern Arizona Lumberjacks,15300
Saluki Stadium,176,Southern Illinois Salukis,15276
Shotwell Stadium,177,Abilene Christian Wildcats,15075
Memorial Field,178,Dartmouth Big Green,15000
Hancock Stadium,179,Illinois State Redbirds,15000
Coughlin–Alumni Stadium,180,South Dakota State Jackrabbits,15000
Homer Bryce Stadium,181,Stephen F. Austin Lumberjacks,15000
Drake Stadium,182,Drake Bulldogs,14557
Bowers Stadium,183,Sam Houston State Bearkats,14000
E. J. Whitmire Stadium,184,Western Carolina Catamounts,13742
Fisher Field,185,Lafayette Leopards,13132
Christy Mathewson–Memorial Stadium,186,Bucknell Bison,13100
Gibbs Stadium,187,Wofford Terriers,13000
Villanova Stadium,188,Villanova Wildcats,12500
Memorial Stadium,189,Indiana State Sycamores,12464
Alerus Center,190,North Dakota,12283
Zable Stadium,191,William & Mary Tribe,12259
Holt Arena,192,Idaho State Bengals,12000
Rhodes Stadium,193,Elon Phoenix,11250
Alex G. Spanos Stadium,194,Cal Poly Mustangs,11075
Houck Stadium,195,Southeast Missouri State Redhawks,11015
Johnny Unitas Stadium,196,Towson Tigers,11000
Welcome Stadium,197,Dayton Flyers,11000
Aggie Stadium,198,UC Davis Aggies,10849
John L. Guidry Stadium,199,Nicholls State Colonels,10500
Andy Kerr Stadium,200,Colgate Raiders,10221
Moye Complex,201,Mercer Bears,10200
O'Kelly–Riddick Stadium,202,North Carolina Central Eagles,10000
O'Brien Stadium,203,Eastern Illinois Panthers,10000
Jayne Stadium,204,Morehead State Eagles,10000
Alumni Memorial Field,205,VMI Keydets,10000
Governors Stadium,206,Austin Peay Governors,10000
Alfond Stadium,207,Maine Black Bears,10000
DakotaDome,208,South Dakota Coyotes,10000
Kermit Tipton Stadium,209,East Tennessee State Buccaneers,6600
Hughes Stadium,210,Morgan State Bears,10000
Municipal Stadium,211,Bethune–Cookman Wildcats,10000
Rice–Totten Field,212,Mississippi Valley State Delta Devils,10000
William H. Greene Stadium,213,Howard Bison,10000
Brooks Stadium,214,Coastal Carolina Chanticleers,9214
E. Claiborne Robins Stadium,215,Richmond Spiders,9000
Estes Stadium,216,Central Arkansas Bears,9000
Roos Field,217,Eastern Washington Eagles,8600
Nottingham Field,218,Northern Colorado Bears,8533
Eccles Coliseum,219,Southern Utah Thunderbirds,8500
Bob Ford Field,220,Albany Great Danes,8500
Ernest W. Spangler Stadium,221,Gardner–Webb Runnin' Bulldogs,8500
Fifth Third Bank Stadium,222,Kennesaw State Owls,8318
Kenneth P. LaValle Stadium,223,Stony Brook Seawolves,8200
